scenario_id,contract_id,combined_status,covered_by_tool_ids,unsure_tool_ids,headlamp,k8sgpt,kube-linter,kube-score,polaris,node-problem-detector,argo-health,kubernetes-mixin,kstatus,cluster-api-conditions,prometheus-runbooks,kubevious,popeye,robusta,coroot,kuberhealthy,kyverno,gatekeeper,kubescape,trivy-operator,kube-bench,pluto,falco
core-workload-rbac-denied-v1,workload-rbac-denied,uncovered,,,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-01-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-02-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-03-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-04-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-05-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-06-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-07-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-08-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-09-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-capacity-repair-safety-10-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-01-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-02-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-03-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-04-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-05-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-06-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-07-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-08-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-09-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-10-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-11-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-controller-convergence-12-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-01-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-02-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-03-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-04-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-05-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-06-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-07-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-08-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-09-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-deployment-availability-10-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-01-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-02-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-03-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-04-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-05-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-06-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-07-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-08-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-09-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-10-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-evidence-freshness-11-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-health-probe-readiness-01-v1,service-selector-fault,covered,kube-linter;kube-score;kubevious;popeye;kubescape,,no_applicable_rule,uncovered,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-health-probe-readiness-02-v1,service-selector-fault,covered,kube-linter;kube-score;kubevious;popeye;kubescape,,no_applicable_rule,uncovered,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-health-probe-readiness-03-v1,service-selector-fault,covered,kube-linter;kube-score;kubevious;popeye;kubescape,,no_applicable_rule,uncovered,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-health-probe-readiness-04-v1,service-selector-fault,covered,kube-linter;kube-score;kubevious;popeye;kubescape,,no_applicable_rule,uncovered,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
phase2-health-probe-readiness-05-v1,service-selector-fault,covered,kube-linter;kube-score;kubevious;popeye;kubescape,,no_applicable_rule,uncovered,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
